dbkey,player_id,first,last,nickname,class_field,school_name,juco_school_name,college_enrolled,school_city,state,county,position_played,position_projected,college_level_projection,uc_score,height,weight,wingspan,hand,arm,arm_length_verified,forty,shuttle,vertical,broad,track60m,track100m,track200m,trackLJ,highJump,trackSP,discus,updated,head_coach,player_head_shot,camp_event_videos,hudl_video_link,college_offers,commit,max_speed_video,effective_school_name,arm_length,query_name,wiki_year,wiki_round,wiki_pick,wiki_team,wiki_college
633638,85024818,Caleb,Downs,,2023,Mill Creek High School,,Alabama,Hoschton,GA,Jackson,S,S,Elite Power 4,,71.7,190,72.7,,,,,,,,,,,,,,,2024-03-27T16:11:14.363Z,Josh Lovelady,https://ucreport.blob.core.windows.net/headshots/dd2da5b7857843f4872ed34e5ae604a3.jpg,"[{'text': 'UA ATL 2/27/2022', 'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Caleb_DownsATL22.mp4'}]",https://www.hudl.com/profile/11921104/Caleb-Downs,"Alabama, Arkansas, Auburn, Central Florida, Clemson, Florida, Florida A&M, Florida State, Georgia, Georgia Tech, Indiana, Kent State, Kentucky, Louisiana State, Louisville, Miami (Fl), Michigan, Michigan State, Mississippi, Mississippi State, Nc State, Nebraska, North Carolina, Notre Dame, Ohio State, Oklahoma, Oregon, Penn State, South Carolina, Southern California, Stanford, Tennessee, Texas, Texas A&M",Ohio State,https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Caleb_DownsMAXSPEED.mp4,Mill Creek High School,,Caleb Downs,2026,1,11,Dallas Cowboys,Ohio State
646055,85037047,Dillon,Thieneman,,2023,Westfield High School,,Purdue,Westfield,IN,Hamilton,S,S,Power 4,0.90768258,71.2,195,76.75,9.0,,,4.635,4.251,33.83,116.0,7.25,11.4,23.0,254.0,,,,2024-12-20T22:12:27.703Z,Jake Gilbert,https://ucreport.blob.core.windows.net/headshots/42b1a1c80c144cad91af2360c8f633f7.jpg,[],https://www.hudl.com/profile/11615152/Dillon-Thieneman,"Ball State, Central Michigan, Indiana, Marshall, Minnesota, Northwestern, Purdue, Toledo, Western Michigan",Oregon,,Westfield High School,,Dillon Thieneman,2026,1,25,Chicago Bears,Oregon
635185,85025394,Emmanuel,McNeil-Warren,,2022,Lakewood Senior High School,,,Saint Petersburg,FL,Pinellas,WR,S,Power 4,,74.0,166,,,,,,,,,,,,,,,,2021-09-20T18:07:01Z,Cory Moore,https://ucreport.blob.core.windows.net/headshots/cb31a46866094c7b936c105706cf0a87.jpg,[],https://www.hudl.com/profile/12468960/Emmanuel-McNeilwarren,"Bowling Green, East Carolina, Indiana, Kansas State, Maryland, Miami (Fl), Toledo, UAB",Toledo,,Lakewood Senior High School,,Emmanuel McNeil-Warren,2026,2,58,Cleveland Browns,Toledo
643088,85033991,Adari,Haulcy,A.J.,2022,Fort Bend Marshall High School,,Houston,Missouri City,TX,Fort Bend,CB,CB,Power 4,,70.25,206,,,,,,,,,,,,,,,,2023-01-01T17:55:46Z,James Williams,https://ucreport.blob.core.windows.net/headshots/8c72672ed31e4a64aab888f59a4ba688.jpg,[],https://www.hudl.com/profile/13628462/adari-haulcy,", Houston Christian, Incarnate Word, Kansas, Louisiana Lafayette, New Mexico, Southeastern Louisiana, Texas Southern",Louisiana State,https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Adari_HaulcyMAXSPEED.mp4,Fort Bend Marshall High School,,A. J. Haulcy,2026,3,78,Indianapolis Colts,LSU
621944,85012625,Jakobe,Thomas,,2021,Tullahoma High School,,Middle Tennessee,Tullahoma,TN,Coffee,ATH,ATH,Group of 6,0.652696557,73.0,181,,,,,4.78,4.45,30.3,,,,,,,,,2024-03-28T17:39:48.083Z,John Olive,https://ucreport.blob.core.windows.net/headshots/381085e4d166474a8a1d42d303a64e51.jpg,[],http://www.hudl.com/profile/9431742/Jakobe-Thomas,Middle Tennessee,Middle Tennessee,https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jakobe_ThomasMAXSPEED.mp4,Tullahoma High School,,Jakobe Thomas,2026,3,98,Minnesota Vikings,Miami (FL)
661571,85052993,Jalen,Huskey,,2022,Quince Orchard High School,,Bowling Green,Gaithersburg,MD,Montgomery,CB,CB,Group of 6,,73.0,175,,,,,,,,,,,,,,,,2024-03-27T17:09:58.479Z,John Kelley,https://ucreport.blob.core.windows.net/headshots/6e5e8c8b48624669b61f200f48a59a39.jpg,[],https://www.hudl.com/profile/11389555/Jalen-Huskey,"Army, Bowling Green, Buffalo, Duke, Marshall, Massachusetts, Navy",Maryland,https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalen_HuskeyMAXSPEED.mp4,Quince Orchard High School,,Jalen Huskey,2026,3,100,Jacksonville Jaguars,Maryland
648566,85039604,Genesis,Smith,G,2023,Hamilton High School,,Arizona,Chandler,AZ,Maricopa,S,S,Power 4,0.889661714,73.9,187,77.8,,,,,4.3,31.7,105.3,,,,253.0,,,,2025-01-10T16:54:58.631Z,Mike Zdebski,https://ucreport.blob.core.windows.net/headshots/6b6c26e8276843f0b2213f589e9838d6.jpg,"[{""text"":""UA LA 3/6/2022"",""link"":""https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Genisis_SmithLA22.mp4""}]",https://www.hudl.com/profile/12946598/Genesis-Smith,"Air Force, Arizona, Arizona State, Army, Colorado State, Florida A&M, Iowa State, New Mexico State, Northern Arizona, Ohio, Oregon State, Rice, San Diego State, Tulane, Unlv, Utah State, Washington, Washington State, Yale",Arizona,,Hamilton High School,,Genesis Smith,2026,4,131,Los Angeles Chargers,Arizona
622961,85013694,Kamari,Ramsey,,2022,Sierra Canyon School,,UCLA,Chatsworth,CA,Los Angeles,S,S,Power 4,,72.0,199,74.5,9.0,31.0,31.0,,,,,,,,,,,,2024-03-28T13:40:14.035Z,Jon Ellinghouse,https://ucreport.blob.core.windows.net/headshots/059926793a724eea8f95e9956b24cc51.jpg,"[{'text': 'UA LA 2/9/2020', 'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Kamari Ramsey.mp4'}, {'text': 'The Opening 7/1/2021', 'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Kamari_RamseyOPEN21.mp4'}]",https://www.hudl.com/profile/11330817/Kamari-Ramsey,"Arizona, Arizona State, Arkansas, Cal, Colorado, Michigan, Nebraska, Notre Dame, Ohio State, Oregon, Oregon State, Penn State, Southern California, Stanford, Texas, Ucla, Unlv, Utah, Virginia Tech, Washington",Southern California,"{'text': '', 'link': ''}",Sierra Canyon School,31.0,Kamari Ramsey,2026,5,141,Houston Texans,USC
622957,85013690,Dalton,Johnson,,2021,Katy High School,,Arizona,Katy,TX,Fort Bend,S,S,Group of 6,,71.0,180,,,,,,,,,,,,,,,,2024-12-11T18:44:59.619Z,Gary Joseph,https://ucreport.blob.core.windows.net/headshots/a990af82c281466680add84e4cf9438b.jpg,[],https://www.hudl.com/profile/2017987/Dalton-Johnson,"Arizona, Arkansas State, Army, Colorado State, Houston, Houston Christian, Louisiana Tech, North Texas, Smu, Unlv",Arizona,,Katy High School,,Dalton Johnson,2026,5,150,Las Vegas Raiders,Arizona
629408,85020394,Zakee,Wheatley,,2021,Archbishop Spalding High School,,,Severn,MD,Anne Arundel,ATH,WR,Power 4,,75.0,180,,,,,,,,,,,,,,,,2021-01-06T19:43:04Z,Kyle Schmitt,https://ucreport.blob.core.windows.net/headshots/f6b130e60095408ab23a08f19a7650a7.jpg,[],https://www.hudl.com/profile/9943368/Zakee-Wheatley,"Cincinnati, Duke, Indiana, Liberty, Louisville, Maryland, Massachusetts, Michigan State, Minnesota, Northwestern, Notre Dame, Penn State, Pittsburgh, Rutgers, Syracuse, Temple, Toledo, Vanderbilt, Virginia, Wake Forest, West Virginia, Wisconsin",Penn State,,Archbishop Spalding High School,,Zakee Wheatley,2026,5,151,Carolina Panthers,Penn State
633865,85025053,Michael,Taaffe,,2021,Westlake High School,,,Austin,TX,Travis,CB,CB,FCS,0.568309295,71.0,169,74.0,,,,4.926,4.251,28.0,105.0,,,,,,,,2020-11-05T15:29:18Z,Todd Dodge,https://ucreport.blob.core.windows.net/headshots/db764323571e44619c735493ef7436df.jpg,[],https://www.hudl.com/profile/9908864/Michael-Taaffe,"Brown, Colgate",,,Westlake High School,,Michael Taaffe,2026,5,158,Miami Dolphins,Texas
650701,85041956,Jalon,Kilgore,2R3AL,2023,Putnam County High School,,,Eatonton,GA,Putnam,S,S,Power 4,0.747391717,73.7,196,77.6,,,,,,27.3,107.1,,11.62,23.04,283.0,,,,2022-09-21T19:21:26Z,Shaun Pope,https://ucreport.blob.core.windows.net/headshots/28ced91d0e3e4030b192435a50e25f16.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalon_KilgoreATL22.mp4', 'text': 'UA ATL 2/27/2022'}]",https://www.hudl.com/profile/14093455/Jalon-Kilgore,"Arkansas State, Central Florida, Clemson, Connecticut, Eastern Michigan, Florida, Florida Atlantic, Florida State, Georgia Southern, Georgia Tech, Indiana, Kentucky, Liberty, Louisville, Mississippi, North Carolina, Oklahoma, Pittsburgh, South Carolina, Southeast Missouri State, Tennessee Technological, Troy, Vanderbilt",South Carolina,https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalon_KilgoreMAXSPEED.mp4,Putnam County High School,,Jalon Kilgore,2026,5,167,Buffalo Bills,South Carolina
619335,85009795,Lorenzo,Styles,,2021,Pickerington High School,,Ohio State,Pickerington,OH,Fairfield,WR,WR,Power 4,,73.0,170,,,,,,,,,6.94,10.83,,,,,,2023-04-21T17:54:19Z,Jay Sharrett,https://ucreport.blob.core.windows.net/headshots/704a3b7f4ed24c05836e7cbefaffaeea.jpg,"[{'link': 'https://videos.sp.milesplit.com/388252/videos/720p.mp4?premium=0&checksum=5fb6661fcf37f8f965f7b0eddc97ce2c', 'text': 'Top100M 3/24/2020  3rd Place'}, {'link': 'http://flocasts-dl.scaleengine.net/sestore2/flocasts/recordings/2019/3/2/msp7891_oatccc_indoor_state_championships_450h_US-DFW3-02-2019-03-02_16-47.mp4?access=5eaabdda460c0d7d1f91b7cb34e612b7', 'text': '2021Top60M 3/30/2020 2nd Place'}]",https://www.hudl.com/profile/6045265/Lorenzo-Styles,"Auburn, Duke, Florida, Indiana, Kentucky, Maryland, Michigan, Mississippi State, Nebraska, Northwestern, Notre Dame, Ohio State, Penn State, Pittsburgh, Purdue, Vanderbilt, West Virginia, Wisconsin",Notre Dame,,Pickerington High School,,Lorenzo Styles Jr.,2026,5,172,New Orleans Saints,Ohio State
